source,setting,task_group,query
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//50813//mmol/L//value_[4.0,inf) within 0.25d | no TIMELINE//END within 0.25d, no MEDS_DEATH within 0.25d"
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//50813//mmol/L//value_[4.0,inf) within 0.5d | no TIMELINE//END within 0.5d, no MEDS_DEATH within 0.5d"
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//50820//units//value_[-inf,7.26) within 0.5d | no TIMELINE//END within 0.5d, no MEDS_DEATH within 0.5d"
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//50821//mm Hg//value_[-inf,43.0) within 1d | no TIMELINE//END within 1d, no MEDS_DEATH within 1d"
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//50882//mEq/L//value_[-inf,20.0) within 1d | no TIMELINE//END within 1d, no MEDS_DEATH within 1d"
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//50885//mg/dL//value_[2.6,inf) within 3d | no TIMELINE//END within 3d, no MEDS_DEATH within 3d"
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//50912//mg/dL//value_[2.3,inf) within 2d | no TIMELINE//END within 2d, no MEDS_DEATH within 2d"
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//50912//mg/dL//value_[2.3,inf) within 3d | no TIMELINE//END within 3d, no MEDS_DEATH within 3d"
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//50931//mg/dL//value_[191.0,inf) within 1d | no TIMELINE//END within 1d, no MEDS_DEATH within 1d"
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//50971//mEq/L//value_[-inf,3.5) within 1d | no TIMELINE//END within 1d, no MEDS_DEATH within 1d"
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//50983//mEq/L//value_[-inf,133.0) within 2d | no TIMELINE//END within 2d, no MEDS_DEATH within 2d"
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//51222//g/dL//value_[-inf,7.9) within 1d | no TIMELINE//END within 1d, no MEDS_DEATH within 1d"
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//51237//UNK//value_[2.6,inf) within 2d | no TIMELINE//END within 2d, no MEDS_DEATH within 2d"
mimic_icu_24h,ICU,Abnormal lab,"LAB//RESULT//51265//K/uL//value_[-inf,86.0) within 2d | no TIMELINE//END within 2d, no MEDS_DEATH within 2d"
mimic_icu_24h,ICU,Broad-spectrum antibiotic,"MEDICATION//START//CefePIME within 1d | no TIMELINE//END within 1d, no MEDS_DEATH within 1d"
